LAST SEEN   TYPE      REASON                   OBJECT                                                             MESSAGE
46m         Normal    Scheduled                pod/cluster-logging-operator-744f7bdffb-s8dnj                      Successfully assigned openshift-logging/cluster-logging-operator-744f7bdffb-s8dnj to ocp-dgs4s-worker-a-gwqkh
4m56s       Warning   DNSConfigForming         pod/cluster-logging-operator-744f7bdffb-s8dnj                      Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-a.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
46m         Normal    AddedInterface           pod/cluster-logging-operator-744f7bdffb-s8dnj                      Add eth0 [10.128.2.15/23] from openshift-sdn
46m         Normal    Pulling                  pod/cluster-logging-operator-744f7bdffb-s8dnj                      Pulling image "registry.redhat.io/openshift-logging/cluster-logging-rhel8-operator@sha256:17b9aee7b0c5fd278d236cf587c0c0b9724a5476bc2325b790c0c3e919d6bf26"
45m         Normal    Pulled                   pod/cluster-logging-operator-744f7bdffb-s8dnj                      Successfully pulled image "registry.redhat.io/openshift-logging/cluster-logging-rhel8-operator@sha256:17b9aee7b0c5fd278d236cf587c0c0b9724a5476bc2325b790c0c3e919d6bf26" in 9.866155063s
45m         Normal    Created                  pod/cluster-logging-operator-744f7bdffb-s8dnj                      Created container cluster-logging-operator
45m         Normal    Started                  pod/cluster-logging-operator-744f7bdffb-s8dnj                      Started container cluster-logging-operator
46m         Normal    SuccessfulCreate         replicaset/cluster-logging-operator-744f7bdffb                     Created pod: cluster-logging-operator-744f7bdffb-s8dnj
46m         Normal    ScalingReplicaSet        deployment/cluster-logging-operator                                Scaled up replica set cluster-logging-operator-744f7bdffb to 1
46m         Normal    RequirementsUnknown      clusterserviceversion/cluster-logging.5.0.8-7                      requirements not yet checked
46m         Normal    AllRequirementsMet       clusterserviceversion/cluster-logging.5.0.8-7                      all requirements found, attempting install
46m         Normal    InstallSucceeded         clusterserviceversion/cluster-logging.5.0.8-7                      waiting for install components to report healthy
46m         Normal    InstallWaiting           clusterserviceversion/cluster-logging.5.0.8-7                      installing: waiting for deployment cluster-logging-operator to become ready: deployment "cluster-logging-operator" not available: Deployment does not have minimum availability.
45m         Normal    InstallSucceeded         clusterserviceversion/cluster-logging.5.0.8-7                      install strategy completed with no errors
11m         Normal    Scheduled                pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Successfully assigned openshift-logging/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv to ocp-dgs4s-worker-c-qx4sr
11m         Normal    SuccessfulAttachVolume   pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  AttachVolume.Attach succeeded for volume "pvc-4461b2bb-fe10-472f-9708-319e7cd58bb8"
8s          Warning   DNSConfigForming         pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-c.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
11m         Normal    AddedInterface           pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Add eth0 [10.129.2.11/23] from openshift-sdn
11m         Normal    Pulling                  pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Pulling image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4"
10m         Normal    Pulled                   pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Successfully pulled image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4" in 44.046701867s
10m         Normal    Created                  pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Created container elasticsearch
10m         Normal    Started                  pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Started container elasticsearch
10m         Normal    Pulling                  pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Pulling image "registry.redhat.io/openshift-logging/elasticsearch-proxy-rhel8@sha256:f64b8f9583793ad298ca7b4e9cd0ef1b745028c0441c0e9682e874f9aa3c68b7"
10m         Normal    Pulled                   pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Successfully pulled image "registry.redhat.io/openshift-logging/elasticsearch-proxy-rhel8@sha256:f64b8f9583793ad298ca7b4e9cd0ef1b745028c0441c0e9682e874f9aa3c68b7" in 12.287693449s
10m         Normal    Created                  pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Created container proxy
10m         Normal    Started                  pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Started container proxy
10m         Warning   Unhealthy                pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Readiness probe failed: Elasticsearch node is not ready to accept HTTP requests yet [response code: 000]
10m         Warning   Unhealthy                pod/elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv                  Readiness probe failed:
11m         Normal    SuccessfulCreate         replicaset/elasticsearch-cdm-knlu729r-1-64bf656895                 Created pod: elasticsearch-cdm-knlu729r-1-64bf656895-hmbvv
11m         Normal    ScalingReplicaSet        deployment/elasticsearch-cdm-knlu729r-1                            Scaled up replica set elasticsearch-cdm-knlu729r-1-64bf656895 to 1
11m         Normal    WaitForFirstConsumer     persistentvolumeclaim/elasticsearch-elasticsearch-cdm-knlu729r-1   waiting for first consumer to be created before binding
